Color
#D0BE5A
#B8842E
#DCC896
#DCC5B3
#E4E1DA
#88392A
#BD7C5E
#853629
#A05649
#7A3F2F
#C88F7B
#AA5946
#B57653
#CA988F
#796598
#B8B2BE
#72A2C6
#779AAE
#3572A9
#4F554B
#516446
#849779
#5E7968
#1C1A1D
#414045
#737270
#718F85
