coordinates,color_r,color_g,color_b,color_a
"[(189.9918688396719, 97.25635997220934), (185.24449604507396, 114.16884512709862), (169.095419012114, 110.38927390661866), (171.21754502607286, 91.17555493019768)]",0.0,0.0,0.0,0.0
"[(169.7630312712347, 90.89567082084409), (167.20563340187402, 109.95977717701862), (149.6821668341941, 108.15589091269862), (149.6821668341941, 90.03112892357876)]",0.0,0.0,0.0,0.0
"[(147.633703857088, 89.71273864376474), (147.48272108214007, 107.62050234329695), (131.31213746640816, 108.1722195870376), (129.55447087001193, 90.09770977315713)]",0.0,0.0,0.0,0.0
"[(126.45842484880075, 91.71153789095024), (129.73036602267427, 109.0168976378186), (114.35438310299435, 113.14006624197862), (108.25552954267437, 96.81919051717864)]",0.0,0.0,0.0,0.0
"[(106.72463352563716, 98.07286378618574), (112.33466108480275, 113.00378769705753), (97.5901560236216, 120.70191484787938), (88.80694458668182, 106.80151287435308)]",0.0,0.0,0.0,0.0
"[(86.55596864861974, 107.55883424763613), (95.7209862564024, 121.08674391760087), (82.30694439753523, 131.09229973036258), (71.31834908907501, 117.85912089931628)]",0.0,0.0,0.0,0.0
"[(69.35775275040811, 117.91390812501118), (80.87757928142645, 133.29132298591458), (70.37724323616567, 144.50634158922958), (55.35697305136296, 132.82413434058253)]",0.0,0.0,0.0,0.0
"[(54.60880108416637, 133.90959039529685), (68.1921386598857, 145.30731986381147), (63.07991258563362, 155.90351385942813), (44.525653866913956, 148.08667338070836)]",0.0,0.0,0.0,0.0
"[(187.74533171199994, 184.3807554560002), (173.78668799999997, 195.5208268800002), (166.62418551790478, 191.12417540303613), (175.42921212987528, 174.97214188863063)]",0.0,0.0,0.0,0.0
"[(173.81859939387533, 174.2205226118307), (165.87867552503445, 189.1951681376961), (152.2640761481399, 181.7671135725891), (151.49098203485988, 168.88221168458915)]",0.0,0.0,0.0,0.0
"[(149.68765612374239, 169.47214342956613), (149.77299511645992, 182.11071095626903), (135.23891421419302, 189.96594232862526), (127.41837739067654, 175.0920989830306)]",0.0,0.0,0.0,0.0
"[(282.5094806937601, 132.9136097484801), (263.18212786176014, 145.04689235968), (253.81767269370482, 133.72236273300337), (269.4129237401602, 120.43510970368015)]",0.0,0.0,0.0,0.0
"[(268.0170593689602, 119.36136787968007), (252.50305652464453, 131.3044931545587), (240.94628206211462, 120.71651609304126), (253.62891892736025, 106.79858853888004)]",0.0,0.0,0.0,0.0
"[(252.23305455616025, 105.51009835008017), (238.91865593856028, 120.11298715648013), (224.63788967936023, 109.69769146368003), (235.16055955456022, 94.0210608332801)]",0.0,0.0,0.0,0.0
"[(233.31779810234514, 93.36809252730052), (223.29741305255686, 107.96582607102528), (208.22749100236535, 100.12258255399502), (216.85504668160024, 85.18348663039978)]",0.0,0.0,0.0,0.0
"[(214.77694990336022, 84.05127886848015), (207.0756978679517, 98.53723640541682), (192.65786832896026, 93.71495528448008), (196.2012163481603, 77.50145374208023)]",0.0,0.0,0.0,0.0
"[(194.5906036121603, 77.28670537728021), (190.2956363161603, 93.9297036492801), (172.9010187673603, 89.52736217088022), (174.9411282329603, 73.42123481088015)]",0.0,0.0,0.0,0.0
"[(152.81861032285963, 72.51903898606815), (152.5437324159156, 87.9122017749321), (136.7657405573301, 88.242055263265), (134.01696148789011, 73.56357503245545)]",0.0,0.0,0.0,0.0
"[(132.44328547063577, 73.70101398592737), (133.92762616813332, 87.8847139842378), (118.58943896065819, 91.40315119312095), (114.1913924495542, 75.13037910203616)]",0.0,0.0,0.0,0.0
"[(112.38850360221505, 75.14385146237203), (116.90758345463593, 92.07665575222495), (100.37195936503599, 97.4453648722249), (93.7069390584818, 82.22436547402367)]",0.0,0.0,0.0,0.0
"[(92.16790463939316, 82.32816588118988), (99.51897214916403, 99.3091122432329), (83.30117563946811, 106.38721834704097), (73.43655236812856, 90.70544621977615)]",0.0,0.0,0.0,0.0
"[(71.85600440320053, 92.07983575449623), (82.47654191863609, 107.69288840502486), (69.69471924574015, 115.80178665987285), (56.256683184128576, 101.21952616038425)]",0.0,0.0,0.0,0.0
"[(54.74485469593657, 102.04415988121616), (67.6892379539641, 116.79177662160089), (54.70281141411169, 129.475097259859), (39.35169190707262, 114.4136656936962)]",0.0,0.0,0.0,0.0
"[(38.006024966144594, 115.25870050918411), (53.87662313002818, 131.29158621289685), (43.51468997714966, 143.8756834121025), (23.437495898112616, 127.76564527513608)]",0.0,0.0,0.0,0.0
