polygon_id,box_name,coordinates,color_r,color_g,color_b,color_a,area
32,A1,"[[54.60880108416637, 133.9095903952968], [68.1921386598857, 145.30731986381147], [63.07991258563362, 155.9035138594282], [44.525653866913956, 148.08667338070836], [54.60880108416637, 133.9095903952968]]",0.0,0.0,0.0,0.0,272.03153437263944
33,A1,"[[187.74533171199994, 184.3807554560002], [173.78668799999997, 195.5208268800002], [166.62418551790478, 191.12417540303613], [175.42921212987528, 174.9721418886307], [187.74533171199994, 184.3807554560002]]",0.0,0.0,0.0,0.0,211.4677749091176
34,A1,"[[173.81859939387533, 174.2205226118307], [165.87867552503445, 189.1951681376961], [152.2640761481399, 181.7671135725891], [151.49098203485988, 168.88221168458915], [173.81859939387533, 174.2205226118307]]",0.0,0.0,0.0,0.0,273.20706484860955
35,A1,"[[149.68765612374239, 169.47214342956613], [149.77299511645992, 182.1107109562691], [135.23891421419302, 189.96594232862532], [127.41837739067654, 175.09209898303067], [149.68765612374239, 169.47214342956613]]",0.0,0.0,0.0,0.0,279.77057655107177
36,A1,"[[282.5094806937601, 132.9136097484801], [263.18212786176014, 145.04689235968004], [253.81767269370482, 133.72236273300342], [269.4129237401602, 120.4351097036801], [282.5094806937601, 132.9136097484801]]",0.0,0.0,0.0,0.0,350.5586838712148
37,A1,"[[268.0170593689602, 119.36136787968007], [252.50305652464453, 131.3044931545587], [240.94628206211462, 120.71651609304132], [253.62891892736025, 106.7985885388801], [268.0170593689602, 119.36136787968007]]",0.0,0.0,0.0,0.0,330.93408806515197
38,A1,"[[252.23305455616025, 105.51009835008011], [238.91865593856028, 120.11298715648007], [224.63788967936023, 109.69769146368009], [235.16055955456022, 94.0210608332801], [252.23305455616025, 105.51009835008011]]",0.0,0.0,0.0,0.0,367.87419368995273
39,A1,"[[233.31779810234514, 93.36809252730052], [223.29741305255686, 107.96582607102522], [208.22749100236535, 100.12258255399507], [216.85504668160024, 85.18348663039978], [233.31779810234514, 93.36809252730052]]",0.0,0.0,0.0,0.0,307.56539621110636
40,A1,"[[214.77694990336022, 84.05127886848015], [207.0756978679517, 98.53723640541682], [192.65786832896026, 93.71495528448014], [196.2012163481603, 77.50145374208017], [214.77694990336022, 84.05127886848015]]",0.0,0.0,0.0,0.0,285.1898316553638
41,A1,"[[194.5906036121603, 77.28670537728021], [190.2956363161603, 93.92970364928016], [172.9010187673603, 89.52736217088017], [174.9411282329603, 73.42123481088021], [194.5906036121603, 77.28670537728021]]",0.0,0.0,0.0,0.0,316.38471929420996
42,A1,"[[152.81861032285963, 72.51903898606821], [152.5437324159156, 87.91220177493216], [136.7657405573301, 88.24205526326494], [134.01696148789011, 73.56357503245539], [152.81861032285963, 72.51903898606821]]",0.0,0.0,0.0,0.0,260.8166786382068
43,A1,"[[132.44328547063577, 73.70101398592743], [133.92762616813332, 87.88471398423775], [118.58943896065819, 91.40315119312095], [114.1913924495542, 75.13037910203622], [132.44328547063577, 73.70101398592743]]",0.0,0.0,0.0,0.0,263.03505751719985
44,A1,"[[112.38850360221505, 75.14385146237203], [116.90758345463593, 92.0766557522249], [100.37195936503599, 97.4453648722249], [93.7069390584818, 82.22436547402361], [112.38850360221505, 75.14385146237203]]",0.0,0.0,0.0,0.0,317.8999820417971
45,A1,"[[92.16790463939316, 82.32816588118988], [99.51897214916403, 99.3091122432329], [83.30117563946811, 106.38721834704091], [73.43655236812856, 90.7054462197762], [92.16790463939316, 82.32816588118988]]",0.0,0.0,0.0,0.0,351.90234049206833
46,A1,"[[71.85600440320053, 92.07983575449623], [82.47654191863609, 107.69288840502492], [69.69471924574015, 115.80178665987285], [56.256683184128576, 101.21952616038419], [71.85600440320053, 92.07983575449623]]",0.0,0.0,0.0,0.0,317.9884916920519
47,A1,"[[54.74485469593657, 102.04415988121616], [67.6892379539641, 116.79177662160089], [54.70281141411169, 129.47509725985907], [39.35169190707262, 114.41366569369615], [54.74485469593657, 102.04415988121616]]",0.0,0.0,0.0,0.0,388.7127173323213
48,A1,"[[38.006024966144594, 115.25870050918411], [53.87662313002818, 131.2915862128968], [43.51468997714966, 143.87568341210255], [23.437495898112616, 127.76564527513608], [38.006024966144594, 115.25870050918411]]",0.0,0.0,0.0,0.0,425.8263780503869
49,A1,"[[173.13761720669982, 197.14309649226902], [162.40019896669986, 207.708716040429], [153.5525663369399, 201.00856705866903], [162.05660158301987, 189.75575274314906], [173.13761720669982, 197.14309649226902]]",0.0,0.0,0.0,0.0,176.46893250673386
50,A1,"[[80.69867374019327, 162.72043226454815], [82.79958409330726, 159.3293367808821], [69.3855422344401, 148.20227910778902], [64.69992056259355, 156.38535550294824], [80.69867374019327, 162.72043226454815]]",0.0,0.0,0.0,0.0,114.73401993848415
51,A1,"[[134.36445129053988, 192.21336355658912], [125.56590868993828, 175.32912237960363], [115.5619238537401, 185.32440765258906], [128.5930889865399, 197.85050813258908], [134.36445129053988, 192.21336355658912]]",0.0,0.0,0.0,0.0,201.30243097925714
52,A1,"[[151.31918334301992, 201.094466404589], [160.85401074013987, 188.72496059210908], [151.31918334301992, 182.9697044154691], [139.98046968157996, 189.49805470538905], [151.31918334301992, 201.094466404589]]",0.0,0.0,0.0,0.0,189.16398177826028
53,A1,"[[149.51529707869992, 201.95345986378902], [137.91888537949995, 190.35704816458906], [129.93024620894, 199.54827817802902], [138.34838210909993, 209.08310557514898], [149.51529707869992, 201.95345986378902]]",0.0,0.0,0.0,0.0,182.8588846538666
54,A1,"[[144.16269408605984, 224.47519462218906], [156.0983031693375, 223.6779892266469], [158.1642874710198, 217.087850873069], [162.88875149661976, 210.30180254538908], [151.89363521885986, 202.22726402890908], [140.0395254818999, 210.04410450762907], [143.81909670237985, 215.62756199242904], [144.16269408605984, 224.47519462218906]]",0.0,0.0,0.0,0.0,307.97149876023934
55,A1,"[[241.7658569984003, 96.0282790527998], [225.3376070912003, 87.22359609599977], [234.70369164887984, 77.97629531896189], [247.17996605132817, 89.82509191833594], [241.7658569984003, 96.0282790527998]]",0.0,0.0,0.0,0.0,187.96285750172606
56,A1,"[[247.83967302799374, 88.39572680222716], [234.92041140162576, 75.97124540835836], [253.50215791104017, 62.61217913087995], [261.6509993617411, 81.3567049008127], [247.83967302799374, 88.39572680222716]]",0.0,0.0,0.0,0.0,359.852235958528
57,A1,"[[262.80548657090594, 80.64202234275831], [255.10890517647397, 61.62047118223353], [279.11019393536014, 55.3705301908891], [281.1717782374401, 75.50533687453702], [262.80548657090594, 80.64202234275831]]",0.0,0.0,0.0,0.0,442.5181819615636
58,A1,"[[283.5769599232001, 74.74942263044102], [280.41586399334415, 55.645408097833126], [301.51274335129597, 53.446384842281134], [300.68810963046406, 73.10015518877702], [283.5769599232001, 74.74942263044102]]",0.0,0.0,0.0,0.0,372.4624892368905
59,A1,"[[269.01782609612815, 101.20212620650494], [259.29194747636086, 84.3214742904513], [278.39262017664146, 77.91474457262922], [281.0994165843972, 95.1314703254526], [269.01782609612815, 101.20212620650494]]",0.0,0.0,0.0,0.0,304.59017121355015
